Categoría: Todas las categorías

Semana,Asics Nimbus: (Canadá),Asics metaspeed: (Canadá),Asics Cumulus: (Canadá),Asics novablast: (Canadá),Asics Superblast: (Canadá)
2020-03-08,19,0,0,0,0
2020-03-15,10,0,10,0,0
2020-03-22,13,0,10,0,0
2020-03-29,28,0,12,0,0
2020-04-05,33,0,17,0,0
2020-04-12,40,0,17,0,0
2020-04-19,37,0,29,0,0
2020-04-26,54,0,24,0,0
2020-05-03,37,0,24,0,0
2020-05-10,38,0,16,14,0
2020-05-17,38,0,19,0,0
2020-05-24,34,0,14,0,0
2020-05-31,32,0,16,0,0
2020-06-07,39,0,12,0,0
2020-06-14,41,0,16,0,0
2020-06-21,37,0,21,0,0
2020-06-28,34,0,13,0,0
2020-07-05,30,0,15,0,0
2020-07-12,28,0,0,0,0
2020-07-19,23,0,16,0,0
2020-07-26,38,0,15,0,0
2020-08-02,30,0,0,0,0
2020-08-09,25,0,9,0,0
2020-08-16,27,0,25,0,0
2020-08-23,31,0,16,0,0
2020-08-30,32,0,20,0,0
2020-09-06,32,0,15,0,0
2020-09-13,32,0,12,0,0
2020-09-20,16,0,15,0,0
2020-09-27,24,0,13,0,0
2020-10-04,23,0,11,0,0
2020-10-11,24,0,13,0,0
2020-10-18,31,0,15,0,0
2020-10-25,16,0,12,0,0
2020-11-01,20,0,10,10,0
2020-11-08,21,0,10,0,0
2020-11-15,19,0,0,0,0
2020-11-22,33,0,17,0,0
2020-11-29,23,0,18,0,0
2020-12-06,17,0,0,0,0
2020-12-13,17,0,0,0,0
2020-12-20,17,0,0,0,0
2020-12-27,33,0,14,0,0
2021-01-03,20,0,16,0,0
2021-01-10,31,0,0,0,0
2021-01-17,26,0,0,0,0
2021-01-24,26,0,16,0,0
2021-01-31,18,0,0,0,0
2021-02-07,9,0,11,0,0
2021-02-14,17,0,9,0,0
2021-02-21,27,0,10,0,0
2021-02-28,32,0,10,0,0
2021-03-07,37,0,11,0,0
2021-03-14,39,0,23,0,0
2021-03-21,49,0,24,0,0
2021-03-28,49,0,15,0,0
2021-04-04,51,0,21,0,0
2021-04-11,35,0,12,0,0
2021-04-18,35,0,15,0,0
2021-04-25,36,0,18,0,0
2021-05-02,36,0,18,10,0
2021-05-09,26,0,15,0,0
2021-05-16,35,0,23,0,0
2021-05-23,38,0,19,0,0
2021-05-30,22,0,22,0,0
2021-06-06,31,0,12,0,0
2021-06-13,31,0,10,0,0
