Categoría: Todas las categorías

Semana,Asics Nimbus: (Canadá),Asics metaspeed: (Canadá),Asics Kayano: (Canadá),Asics novablast: (Canadá),Asics Superblast: (Canadá)
2020-03-08,19,0,13,8,0
2020-03-15,11,0,15,0,0
2020-03-22,24,0,13,0,0
2020-03-29,29,0,23,0,0
2020-04-05,34,0,25,0,0
2020-04-12,39,0,33,0,0
2020-04-19,38,0,24,0,0
2020-04-26,57,0,28,0,0
2020-05-03,38,0,40,0,0
2020-05-10,36,0,36,0,0
2020-05-17,36,0,41,0,0
2020-05-24,34,0,26,0,0
2020-05-31,33,0,31,0,0
2020-06-07,38,0,33,0,0
2020-06-14,43,0,33,0,0
2020-06-21,37,0,26,0,0
2020-06-28,32,0,22,0,0
2020-07-05,27,0,24,0,0
2020-07-12,35,0,30,11,0
2020-07-19,26,0,24,0,0
2020-07-26,33,0,28,0,0
2020-08-02,26,0,20,0,0
2020-08-09,26,0,25,0,0
2020-08-16,25,0,31,0,0
2020-08-23,26,0,27,0,0
2020-08-30,35,0,31,0,0
2020-09-06,23,0,33,0,0
2020-09-13,27,0,27,0,0
2020-09-20,16,0,17,0,0
2020-09-27,27,0,19,0,0
2020-10-04,21,0,31,0,0
2020-10-11,24,0,24,0,0
2020-10-18,29,0,19,0,0
2020-10-25,14,0,19,0,0
2020-11-01,20,0,21,0,0
2020-11-08,24,0,17,0,0
2020-11-15,22,0,18,0,0
2020-11-22,35,0,27,0,0
2020-11-29,22,0,22,0,0
2020-12-06,16,0,12,0,0
2020-12-13,17,0,0,0,0
2020-12-20,19,0,23,0,0
2020-12-27,31,0,25,0,0
2021-01-03,24,0,9,0,0
2021-01-10,23,0,20,0,0
2021-01-17,26,0,21,0,0
2021-01-24,22,0,14,0,0
2021-01-31,18,0,11,0,0
2021-02-07,11,0,20,0,0
2021-02-14,17,0,0,0,0
2021-02-21,24,0,19,0,0
2021-02-28,27,0,17,0,0
2021-03-07,27,0,23,0,0
2021-03-14,40,0,34,0,0
2021-03-21,46,0,38,0,0
2021-03-28,45,0,32,0,0
2021-04-04,55,0,36,0,0
2021-04-11,37,0,39,0,0
2021-04-18,32,0,25,0,0
2021-04-25,38,0,18,0,0
2021-05-02,31,0,29,0,0
2021-05-09,30,0,28,0,0
2021-05-16,38,0,34,0,0
2021-05-23,32,0,30,0,0
2021-05-30,29,0,29,9,0
2021-06-06,31,0,35,0,0
2021-06-13,27,0,32,0,0
2021-06-20,30,0,22,0,0
2021-06-27,24,0,15,0,0
2021-07-04,32,0,19,0,0
2021-07-11,27,0,16,0,0
2021-07-18,25,0,21,0,0
2021-07-25,23,0,32,0,0
2021-08-01,30,0,22,0,0
2021-08-08,28,0,32,10,0
2021-08-15,31,0,31,0,0
2021-08-22,33,0,29,11,0
2021-08-29,28,0,22,12,0
2021-09-05,27,0,36,0,0
2021-09-12,29,0,24,0,0
2021-09-19,24,0,14,0,0
2021-09-26,20,0,23,0,0
2021-10-03,29,0,26,0,0
2021-10-10,20,0,19,0,0
2021-10-17,19,0,19,0,0
2021-10-24,16,0,21,0,0
2021-10-31,25,0,18,0,0
2021-11-07,15,0,19,0,0
2021-11-14,20,0,14,0,0
2021-11-21,33,0,37,0,0
2021-11-28,13,0,24,0,0
2021-12-05,20,0,15,0,0
2021-12-12,15,0,0,0,0
2021-12-19,10,0,11,0,0
2021-12-26,24,0,28,0,0
2022-01-02,29,0,21,0,0
2022-01-09,16,0,14,0,0
2022-01-16,16,0,0,0,0
2022-01-23,22,0,15,0,0
2022-01-30,17,0,18,0,0
2022-02-06,19,0,17,0,0
2022-02-13,19,0,17,0,0
2022-02-20,22,0,16,0,0
2022-02-27,25,0,15,0,0
2022-03-06,28,0,24,10,0
2022-03-13,34,0,24,0,0
2022-03-20,32,0,31,9,0
2022-03-27,34,0,32,7,0
2022-04-03,37,0,30,8,0
2022-04-10,33,0,29,0,0
2022-04-17,35,0,30,0,0
2022-04-24,44,8,36,9,0
2022-05-01,29,0,33,0,0
2022-05-08,37,0,29,8,0
2022-05-15,25,0,36,0,0
2022-05-22,37,0,31,0,0
2022-05-29,28,0,26,0,0
2022-06-05,32,0,28,0,0
2022-06-12,24,0,17,0,0
2022-06-19,15,0,27,0,0
2022-06-26,21,0,24,0,0
2022-07-03,23,0,33,0,0
2022-07-10,23,0,27,0,0
2022-07-17,19,0,26,0,0
2022-07-24,23,0,28,0,0
2022-07-31,29,0,25,11,0
2022-08-07,28,0,28,10,0
2022-08-14,25,0,40,0,0
2022-08-21,36,0,38,0,0
2022-08-28,35,0,32,15,0
2022-09-04,31,0,32,19,0
2022-09-11,30,0,22,13,0
2022-09-18,32,0,24,11,0
2022-09-25,22,0,26,8,0
2022-10-02,25,0,19,0,0
2022-10-09,24,0,20,0,0
2022-10-16,23,0,21,0,0
2022-10-23,19,0,25,0,0
2022-10-30,19,0,22,16,0
2022-11-06,16,0,22,0,0
2022-11-13,20,0,18,10,0
2022-11-20,30,0,41,10,0
2022-11-27,21,0,24,0,0
2022-12-04,18,0,17,0,0
2022-12-11,12,0,13,10,0
2022-12-18,14,0,17,0,0
2022-12-25,33,0,35,10,0
2023-01-01,27,0,39,10,0
2023-01-08,32,0,22,0,0
2023-01-15,22,0,18,0,0
2023-01-22,21,0,22,11,0
2023-01-29,28,0,22,0,0
2023-02-05,42,0,22,0,0
2023-02-12,23,0,20,8,0
2023-02-19,30,0,28,11,0
2023-02-26,29,0,17,10,0
2023-03-05,29,0,18,10,0
2023-03-12,31,0,36,11,0
2023-03-19,40,12,32,8,0
2023-03-26,44,0,36,8,0
2023-04-02,36,0,34,10,0
