Categoría: Todas las categorías

Semana,Nike Running: (Canadá),New balance Running: (Canadá),Hoka Running: (Canadá),Saucony Running: (Canadá),Asics Running: (Canadá)
2020-03-08,53,15,0,5,9
2020-03-15,46,9,5,6,12
2020-03-22,60,13,6,8,13
2020-03-29,62,15,5,9,20
2020-04-05,77,18,6,14,25
2020-04-12,87,22,7,15,31
2020-04-19,85,23,7,14,32
2020-04-26,98,27,9,19,33
2020-05-03,90,27,8,16,32
2020-05-10,88,23,10,14,30
2020-05-17,93,29,9,16,31
2020-05-24,95,23,9,14,27
2020-05-31,100,23,8,14,26
2020-06-07,80,22,7,11,23
2020-06-14,70,19,7,14,26
2020-06-21,73,22,7,12,25
2020-06-28,79,19,12,11,27
2020-07-05,75,19,8,10,25
2020-07-12,69,20,9,11,25
2020-07-19,70,18,9,13,19
2020-07-26,70,19,7,11,22
2020-08-02,84,18,6,9,21
2020-08-09,74,17,7,11,16
2020-08-16,73,16,8,11,17
2020-08-23,78,17,9,9,17
2020-08-30,84,19,7,15,24
2020-09-06,67,17,6,12,25
2020-09-13,61,15,7,9,22
2020-09-20,71,15,6,11,18
2020-09-27,56,14,7,11,17
2020-10-04,64,15,7,12,17
2020-10-11,67,18,6,11,21
2020-10-18,57,17,8,11,18
2020-10-25,59,16,8,10,19
2020-11-01,43,13,7,7,14
2020-11-08,55,18,6,10,19
2020-11-15,78,16,7,14,17
2020-11-22,87,15,7,13,25
2020-11-29,74,15,5,8,18
2020-12-06,74,11,0,7,17
2020-12-13,66,11,7,7,13
2020-12-20,65,15,9,13,16
2020-12-27,80,20,7,14,24
2021-01-03,60,14,5,10,17
2021-01-10,65,12,3,10,21
2021-01-17,68,16,9,9,17
2021-01-24,50,9,8,10,15
2021-01-31,51,15,5,8,16
2021-02-07,48,10,8,6,12
2021-02-14,51,15,7,7,13
2021-02-21,58,11,6,9,11
2021-02-28,65,17,8,10,19
2021-03-07,71,19,9,10,23
2021-03-14,75,20,9,14,31
2021-03-21,91,24,11,15,18
2021-03-28,77,23,10,13,28
2021-04-04,87,25,15,17,30
2021-04-11,90,21,11,14,27
2021-04-18,79,24,12,14,29
2021-04-25,76,25,15,13,27
2021-05-02,80,20,15,16,30
2021-05-09,77,24,13,12,28
2021-05-16,84,21,14,14,27
2021-05-23,83,22,11,14,27
2021-05-30,80,21,14,9,25
2021-06-06,68,16,13,12,22
2021-06-13,72,20,12,11,22
2021-06-20,74,16,11,14,23
2021-06-27,72,16,9,11,20
2021-07-04,63,16,8,9,22
2021-07-11,62,18,10,12,24
2021-07-18,79,24,9,9,22
2021-07-25,70,17,9,12,21
2021-08-01,81,16,12,11,24
2021-08-08,76,18,10,11,24
2021-08-15,75,16,11,10,21
2021-08-22,71,21,12,11,19
2021-08-29,63,14,9,13,22
2021-09-05,58,21,8,14,19
2021-09-12,64,16,9,13,21
2021-09-19,57,15,9,13,18
2021-09-26,60,17,7,9,14
2021-10-03,72,15,7,9,17
2021-10-10,50,12,8,10,19
2021-10-17,51,15,8,10,16
2021-10-24,45,13,9,8,15
2021-10-31,44,15,10,8,16
