Categoría: Todas las categorías

Semana,Adidas running: (Canadá),Nike running: (Canadá),Hoka Running: (Canadá),Saucony Running: (Canadá),Asics Running: (Canadá)
2020-03-08,14,53,0,5,9
2020-03-15,10,46,5,6,12
2020-03-22,13,60,6,8,13
2020-03-29,18,62,5,9,20
2020-04-05,22,77,6,14,25
2020-04-12,23,87,7,15,31
2020-04-19,28,85,7,14,32
2020-04-26,27,98,9,19,33
2020-05-03,29,90,8,16,32
2020-05-10,27,88,10,14,30
2020-05-17,35,93,9,16,31
2020-05-24,20,95,9,14,27
2020-05-31,25,100,8,14,26
2020-06-07,21,80,7,11,23
2020-06-14,21,70,7,14,26
2020-06-21,21,73,7,12,25
2020-06-28,21,79,12,11,27
2020-07-05,19,75,8,10,25
2020-07-12,19,69,9,11,25
2020-07-19,20,70,9,13,19
2020-07-26,18,70,7,11,22
2020-08-02,20,84,6,9,21
2020-08-09,24,74,7,11,16
2020-08-16,23,73,8,11,17
2020-08-23,19,78,9,9,17
2020-08-30,20,84,7,15,24
2020-09-06,17,67,6,12,25
2020-09-13,17,61,7,9,22
2020-09-20,16,71,6,11,18
2020-09-27,16,56,7,11,17
2020-10-04,12,64,7,12,17
2020-10-11,16,67,6,11,21
2020-10-18,14,57,8,11,18
2020-10-25,11,59,8,10,19
2020-11-01,12,43,7,7,14
2020-11-08,13,55,6,10,19
2020-11-15,19,78,7,14,17
2020-11-22,30,87,7,13,25
2020-11-29,21,74,5,8,18
2020-12-06,22,74,0,7,17
2020-12-13,16,66,7,7,13
2020-12-20,19,65,9,13,16
2020-12-27,19,80,7,14,24
2021-01-03,16,60,5,10,17
2021-01-10,15,65,3,10,21
2021-01-17,15,68,9,9,17
2021-01-24,12,50,8,10,15
2021-01-31,11,51,5,8,16
2021-02-07,14,48,8,6,12
2021-02-14,14,51,7,7,13
2021-02-21,16,58,6,9,11
2021-02-28,12,65,8,10,19
2021-03-07,18,71,9,10,23
2021-03-14,22,75,9,14,31
2021-03-21,27,91,11,15,18
2021-03-28,19,77,10,13,28
2021-04-04,26,87,15,17,30
2021-04-11,26,90,11,14,27
2021-04-18,22,79,12,14,29
2021-04-25,19,76,15,13,27
2021-05-02,24,80,15,16,30
2021-05-09,19,77,13,12,28
2021-05-16,22,84,14,14,27
2021-05-23,26,83,11,14,27
2021-05-30,21,80,14,9,25
2021-06-06,19,68,13,12,22
2021-06-13,17,72,12,11,22
2021-06-20,15,74,11,14,23
2021-06-27,17,72,9,11,20
2021-07-04,17,63,8,9,22
2021-07-11,15,62,10,12,24
2021-07-18,18,79,9,9,22
2021-07-25,16,70,9,12,21
2021-08-01,18,81,12,11,24
2021-08-08,21,76,10,11,24
2021-08-15,15,75,11,10,21
2021-08-22,17,71,12,11,19
2021-08-29,18,63,9,13,22
2021-09-05,13,58,8,14,19
2021-09-12,15,64,9,13,21
2021-09-19,10,57,9,13,18
2021-09-26,15,60,7,9,14
2021-10-03,10,72,7,9,17
2021-10-10,14,50,8,10,19
2021-10-17,14,51,8,10,16
2021-10-24,13,45,9,8,15
2021-10-31,9,44,10,8,16
2021-11-07,15,57,10,9,18
2021-11-14,14,53,7,11,18
2021-11-21,14,64,9,12,25
2021-11-28,16,55,7,12,15
2021-12-05,10,42,5,5,11
2021-12-12,8,45,5,6,9
2021-12-19,10,44,9,7,14
2021-12-26,17,60,7,11,21
2022-01-02,12,65,12,12,21
2022-01-09,12,55,8,8,15
2022-01-16,10,40,9,6,10
2022-01-23,18,41,10,4,15
2022-01-30,16,52,11,7,16
2022-02-06,10,48,11,8,14
