Categoría: Todas las categorías

Semana,Hoka Bondi: (Canadá),Hoka Clifton: (Canadá),Hoka Mach: (Canadá),Hoka Cielo: (Canadá),Hoka Arahi: (Canadá)
2020-03-08,8,8,0,0,0
2020-03-15,0,11,0,0,0
2020-03-22,0,8,0,0,0
2020-03-29,0,0,0,0,0
2020-04-05,0,10,0,0,0
2020-04-12,10,10,0,0,0
2020-04-19,8,10,0,0,0
2020-04-26,9,9,0,0,0
2020-05-03,0,8,0,0,0
2020-05-10,9,8,0,0,0
2020-05-17,10,9,0,0,0
2020-05-24,0,10,0,0,0
2020-05-31,0,12,0,0,0
2020-06-07,7,9,0,0,0
2020-06-14,12,8,0,0,0
2020-06-21,12,9,0,0,0
2020-06-28,11,12,0,0,0
2020-07-05,10,15,0,0,0
2020-07-12,0,11,0,0,0
2020-07-19,12,13,0,0,0
2020-07-26,0,9,0,0,0
2020-08-02,8,11,0,0,0
2020-08-09,0,0,0,0,0
2020-08-16,14,12,0,0,0
2020-08-23,8,11,0,0,0
2020-08-30,10,0,0,0,0
2020-09-06,10,8,0,0,0
2020-09-13,13,8,0,0,0
2020-09-20,8,0,0,0,0
2020-09-27,9,0,0,0,0
2020-10-04,11,0,0,0,0
2020-10-11,10,0,0,0,0
2020-10-18,0,14,0,0,0
2020-10-25,0,0,0,0,0
2020-11-01,8,12,0,0,0
2020-11-08,0,0,0,8,0
2020-11-15,11,0,0,0,0
2020-11-22,0,0,0,0,0
2020-11-29,9,13,0,0,0
2020-12-06,0,0,0,0,0
2020-12-13,0,0,0,0,0
2020-12-20,13,0,0,0,0
2020-12-27,10,9,0,0,0
2021-01-03,15,0,0,0,0
2021-01-10,10,0,0,0,0
2021-01-17,16,0,0,0,0
2021-01-24,10,0,0,0,0
2021-01-31,0,11,0,0,0
2021-02-07,14,14,0,0,0
2021-02-14,10,9,0,0,0
2021-02-21,0,12,0,0,0
2021-02-28,11,9,0,0,0
2021-03-07,8,10,0,0,0
2021-03-14,10,14,0,0,0
2021-03-21,25,12,0,0,0
2021-03-28,0,21,9,0,8
2021-04-04,14,14,0,0,0
2021-04-11,23,11,0,0,0
2021-04-18,16,21,0,0,0
2021-04-25,13,19,0,0,0
2021-05-02,12,13,0,0,0
2021-05-09,14,20,9,0,0
2021-05-16,16,21,0,0,0
2021-05-23,13,12,0,0,0
2021-05-30,11,19,0,0,0
2021-06-06,16,17,0,0,0
2021-06-13,20,17,0,0,0
2021-06-20,12,12,0,0,0
2021-06-27,13,13,0,0,0
2021-07-04,13,0,0,0,0
2021-07-11,19,18,0,0,0
2021-07-18,0,16,0,0,0
2021-07-25,15,14,0,0,0
2021-08-01,13,10,0,0,0
2021-08-08,16,9,0,0,0
2021-08-15,11,14,0,0,0
2021-08-22,17,10,0,0,0
2021-08-29,19,13,0,0,0
2021-09-05,9,10,0,0,0
2021-09-12,14,10,0,0,0
2021-09-19,13,0,0,0,0
2021-09-26,0,0,0,0,0
2021-10-03,21,0,0,0,0
2021-10-10,19,10,0,0,0
2021-10-17,16,11,0,0,0
2021-10-24,18,10,0,0,0
2021-10-31,0,0,0,0,0
2021-11-07,10,10,0,0,0
2021-11-14,14,11,0,0,0
2021-11-21,0,11,0,0,0
2021-11-28,15,9,0,0,0
2021-12-05,14,0,0,0,0
2021-12-12,11,0,0,0,0
2021-12-19,11,0,0,0,0
2021-12-26,14,0,0,0,0
2022-01-02,12,11,0,0,0
2022-01-09,15,14,0,0,0
2022-01-16,25,16,0,0,0
2022-01-23,14,0,0,0,0
2022-01-30,13,18,0,0,0
2022-02-06,19,13,0,0,0
2022-02-13,17,12,0,0,0
2022-02-20,17,13,0,0,0
2022-02-27,16,13,0,0,0
2022-03-06,17,15,0,0,0
2022-03-13,23,19,0,0,0
2022-03-20,27,15,0,0,0
2022-03-27,18,22,0,0,0
2022-04-03,20,21,7,0,0
2022-04-10,19,15,0,0,0
2022-04-17,27,19,0,0,0
2022-04-24,27,25,12,0,0
2022-05-01,27,23,0,0,0
2022-05-08,25,21,0,0,0
2022-05-15,23,22,0,0,0
2022-05-22,27,28,0,0,0
2022-05-29,24,18,9,0,0
