Categoría: Todas las categorías

Semana,New balance 1080: (Canadá),New balance 880: (Canadá),New balance elite: (Canadá),New balance trainer: (Canadá),New balance Rebel: (Canadá)
2020-03-08,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-22,0,0,0,0,0
2020-03-29,24,19,0,20,0
2020-04-05,18,18,0,0,0
2020-04-12,24,0,0,0,0
2020-04-19,0,0,0,0,0
2020-04-26,0,16,0,0,0
2020-05-03,20,22,0,0,20
2020-05-10,23,25,0,0,0
2020-05-17,0,25,0,0,0
2020-05-24,17,23,0,0,0
2020-05-31,0,19,0,0,0
2020-06-07,0,0,0,0,0
2020-06-14,0,0,0,0,0
2020-06-21,0,0,0,0,0
2020-06-28,19,26,0,0,0
2020-07-05,0,20,0,0,0
2020-07-12,0,0,0,0,0
2020-07-19,0,0,0,0,0
2020-07-26,0,0,0,0,0
2020-08-02,0,0,0,0,0
2020-08-09,0,0,0,0,0
2020-08-16,0,0,0,0,0
2020-08-23,0,20,0,0,0
2020-08-30,0,20,0,0,0
2020-09-06,0,0,0,0,0
2020-09-13,0,0,0,0,0
2020-09-20,0,0,0,0,0
2020-09-27,0,0,0,0,0
2020-10-04,0,18,0,0,0
2020-10-11,0,0,0,0,0
2020-10-18,0,0,0,0,0
2020-10-25,0,0,0,0,0
2020-11-01,0,0,0,0,0
2020-11-08,0,21,0,0,0
2020-11-15,0,0,0,0,0
2020-11-22,0,21,0,0,0
2020-11-29,0,21,0,0,0
2020-12-06,0,0,0,0,0
2020-12-13,0,0,0,0,0
2020-12-20,30,0,0,0,0
2020-12-27,0,0,0,0,0
2021-01-03,0,23,0,0,0
2021-01-10,0,0,0,0,0
2021-01-17,0,0,0,0,0
2021-01-24,0,0,0,0,0
2021-01-31,0,0,0,0,0
2021-02-07,0,0,0,0,0
2021-02-14,0,0,0,0,0
2021-02-21,20,0,0,0,0
2021-02-28,0,19,0,0,0
2021-03-07,0,0,0,0,0
2021-03-14,0,0,0,0,0
2021-03-21,19,0,0,0,0
2021-03-28,0,0,0,0,0
2021-04-04,25,40,0,0,0
2021-04-11,29,20,0,0,0
2021-04-18,0,0,0,0,0
2021-04-25,19,25,0,0,0
2021-05-02,0,29,0,0,0
2021-05-09,0,0,0,0,0
2021-05-16,0,26,0,0,0
2021-05-23,0,35,0,0,0
2021-05-30,0,0,0,0,0
2021-06-06,0,25,0,0,0
2021-06-13,0,0,0,0,0
2021-06-20,0,24,0,0,0
2021-06-27,21,31,0,0,0
2021-07-04,0,31,0,0,0
2021-07-11,0,0,0,0,0
2021-07-18,0,0,0,0,0
2021-07-25,0,0,0,0,0
2021-08-01,0,0,0,0,0
2021-08-08,0,20,0,0,0
2021-08-15,29,25,0,0,0
2021-08-22,0,0,0,0,0
2021-08-29,0,0,0,0,0
2021-09-05,0,28,0,0,0
2021-09-12,0,24,0,0,22
2021-09-19,0,0,0,0,0
2021-09-26,0,21,0,0,0
2021-10-03,0,21,0,0,0
2021-10-10,0,31,0,0,0
2021-10-17,0,0,0,21,0
2021-10-24,0,21,0,0,0
2021-10-31,0,22,0,0,0
2021-11-07,0,0,0,0,0
2021-11-14,0,0,0,0,0
2021-11-21,0,26,0,0,0
2021-11-28,0,0,0,0,0
2021-12-05,0,0,23,0,0
2021-12-12,0,0,0,0,0
2021-12-19,0,0,0,0,0
2021-12-26,0,0,0,0,0
2022-01-02,0,0,0,0,0
2022-01-09,0,0,0,0,0
2022-01-16,0,0,0,0,0
2022-01-23,0,0,0,0,0
2022-01-30,0,0,0,0,0
2022-02-06,0,0,0,0,0
2022-02-13,0,17,0,0,0
2022-02-20,0,0,0,0,0
2022-02-27,0,17,0,0,0
2022-03-06,0,0,0,0,0
2022-03-13,0,29,0,0,17
2022-03-20,0,18,0,0,0
2022-03-27,0,22,0,0,0
2022-04-03,20,19,0,0,0
2022-04-10,17,26,0,0,0
2022-04-17,22,22,0,0,0
2022-04-24,19,37,0,0,0
2022-05-01,32,16,0,0,0
2022-05-08,22,0,0,0,0
2022-05-15,20,27,0,0,0
2022-05-22,0,22,0,0,0
2022-05-29,31,21,0,0,0
2022-06-05,18,24,0,0,0
2022-06-12,0,32,0,0,0
2022-06-19,24,0,0,0,0
2022-06-26,23,20,0,0,0
2022-07-03,0,0,0,0,0
2022-07-10,0,21,0,0,0
2022-07-17,20,0,0,0,0
2022-07-24,28,23,0,0,0
2022-07-31,24,0,0,0,0
2022-08-07,0,21,0,0,0
2022-08-14,26,25,0,0,0
2022-08-21,47,25,0,0,0
2022-08-28,27,24,0,0,0
2022-09-04,25,27,0,0,0
2022-09-11,23,0,0,0,0
2022-09-18,33,27,0,0,18
2022-09-25,19,24,0,0,0
2022-10-02,24,28,0,0,0
2022-10-09,0,0,0,0,0
2022-10-16,0,0,0,0,0
2022-10-23,21,24,0,0,0
2022-10-30,20,21,0,0,0
2022-11-06,28,26,0,0,25
2022-11-13,25,0,0,0,0
2022-11-20,23,26,0,0,0
2022-11-27,0,20,0,0,0
2022-12-04,0,0,0,0,0
2022-12-11,0,18,0,0,0
2022-12-18,24,0,0,0,0
2022-12-25,0,0,0,19,0
2023-01-01,26,30,18,0,0
2023-01-08,20,28,0,0,0
2023-01-15,19,26,0,0,0
2023-01-22,27,0,0,0,0
2023-01-29,21,21,0,0,0
2023-02-05,17,19,0,20,0
2023-02-12,25,28,0,0,0
2023-02-19,24,18,0,0,0
2023-02-26,37,26,0,0,0
2023-03-05,23,40,0,0,0
2023-03-12,28,33,18,0,0
2023-03-19,19,26,0,0,0
2023-03-26,34,38,0,0,0
2023-04-02,25,21,0,27,0
2023-04-09,50,39,0,0,0
2023-04-16,33,40,0,0,0
2023-04-23,34,39,0,0,0
2023-04-30,32,34,0,0,0
2023-05-07,35,43,0,0,0
2023-05-14,36,35,0,0,19
2023-05-21,47,21,0,0,0
2023-05-28,31,27,0,0,0
2023-06-04,34,46,0,19,0
2023-06-11,30,31,0,0,0
2023-06-18,30,36,0,0,0
2023-06-25,0,28,0,17,0
2023-07-02,26,31,0,20,0
2023-07-09,31,29,0,22,0
2023-07-16,53,25,0,0,0
2023-07-23,26,34,0,18,0
2023-07-30,40,49,0,27,0
2023-08-06,32,0,0,0,0
2023-08-13,36,34,0,23,0
2023-08-20,42,48,0,20,0
2023-08-27,24,31,0,0,27
2023-09-03,33,39,0,0,0
2023-09-10,27,26,0,0,0
2023-09-17,23,24,0,0,0
2023-09-24,19,20,0,0,0
2023-10-01,50,35,0,18,0
2023-10-08,34,26,0,0,0
2023-10-15,49,25,0,0,0
2023-10-22,38,24,0,0,0
2023-10-29,21,20,0,0,0
2023-11-05,45,22,0,0,0
2023-11-12,24,18,0,0,0
2023-11-19,38,25,0,0,0
2023-11-26,45,37,0,18,0
2023-12-03,19,22,0,0,0
2023-12-10,0,22,0,0,0
2023-12-17,30,32,0,0,0
2023-12-24,71,46,0,25,0
2023-12-31,52,26,0,0,19
2024-01-07,37,28,0,0,0
2024-01-14,30,24,0,19,0
2024-01-21,36,20,21,18,0
2024-01-28,42,23,0,0,0
2024-02-04,38,39,26,25,0
2024-02-11,56,37,0,19,0
2024-02-18,57,32,0,31,0
2024-02-25,56,43,0,27,29
2024-03-03,65,47,0,29,30
2024-03-10,63,65,24,0,30
2024-03-17,71,53,19,31,40
2024-03-24,90,52,0,28,64
2024-03-31,74,39,23,40,48
2024-04-07,76,63,20,22,53
2024-04-14,84,63,19,21,49
2024-04-21,63,60,0,27,40
2024-04-28,76,42,0,32,22
2024-05-05,100,67,0,27,54
2024-05-12,60,31,0,29,38
2024-05-19,72,44,0,0,34
2024-05-26,64,48,20,26,43
2024-06-02,74,39,19,19,47
2024-06-09,58,43,0,20,44
2024-06-16,71,48,0,31,44
2024-06-23,61,45,0,0,50
2024-06-30,80,58,24,0,44
2024-07-07,59,53,24,0,38
